Neighbourhood,F2020_Population_Projection,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020
Victoria Village,19005,599.7731,666.2403,594.5804,64.84033,85.27876,84.18837,194.521,314.4654,178.9003,70.24369,69.28899,57.87951,16.21008,26.64961,26.30887,5.403361,5.329922,0,10.80672,31.97953,21.04709
Waterfront Communities-The Island,87808,1143.316,1000.349,862.1082,77.75059,73.43116,76.30284,426.9909,405.6771,399.7358,147.8536,111.9524,94.52441,76.47599,90.28422,63.77551,1.2746,1.203789,3.416545,21.6682,12.0379,10.24964
West Hill,29669,1468.201,1518.305,1132.495,93.27392,150.1245,182.0082,355.8227,262.7179,192.1197,179.6387,249.0703,121.3388,17.27295,13.64769,30.33469,6.909179,6.823843,6.741043,17.27295,27.29537,23.59365
West Humber-Clairville,37133,883.3478,702.0238,667.8696,1406.088,1327.264,1066.437,475.2188,370.2079,288.1534,254.3818,197.4442,201.9767,142.5656,178.2482,150.8092,5.590809,5.484561,8.079067,44.72647,52.10333,18.85116
Westminster-Branson,28248,397.8156,389.9961,322.1467,126.5777,121.6501,169.9235,144.6602,135.9619,53.1011,57.86409,28.62356,60.18125,14.46602,3.577945,21.24044,0,0,0,3.616506,3.577945,3.540074
Kennedy Park,18407,1214.575,1212.753,950.7253,155.2881,137.1893,168.4142,266.2082,224.9904,173.8469,177.4721,137.1893,135.8179,110.9201,32.92542,48.89444,5.546004,5.487571,0,22.18402,10.97514,5.432716
Kingsview Village-The Westway,23318,439.3597,423.2713,420.2762,239.2553,172.7638,248.7349,169.6537,116.6156,55.75092,78.30172,64.78642,30.01973,13.05029,8.638189,30.01973,0,0,0,8.700191,12.95728,8.577065
Bayview Woods-Steeles,14020,298.0301,323.9274,235.378,50.88319,151.1661,106.99,210.8018,151.1661,235.378,58.15221,43.19033,7.132668,14.53805,14.39678,14.26534,7.269027,7.198388,0,21.80708,28.79355,7.132668
Clanton Park,18742,447.5274,469.8683,437.52,223.7637,234.9342,234.7668,290.8928,240.3978,176.0751,61.53502,65.56302,85.36976,50.34683,21.85434,26.67805,0,0,0,0,5.463585,16.00683
Keelesdale-Eglinton West,12050,613.8107,479.1124,663.9004,170.503,277.3809,182.5726,264.2796,151.2986,190.8714,161.9778,92.46028,91.28631,25.57545,67.24384,24.89627,8.525149,8.40548,0,42.62575,0,24.89627
O'Connor-Parkview,20156,680.3066,717.2593,585.4336,101.5383,140.4424,99.22604,131.9998,280.8848,124.0325,50.76915,70.2212,94.26473,30.46149,35.1106,49.61302,0,0,0,30.46149,25.079,19.84521
Old East York,9817,641.5563,512.9257,295.4059,93.12914,41.03406,81.49129,289.7351,133.3607,152.7962,72.43378,123.1022,50.93206,0,30.77554,40.74564,0,0,0,10.34768,0,10.18641
Casa Loma,12334,372.3449,447.3531,494.5679,152.3229,49.70591,145.9381,194.6348,281.6668,291.8761,50.77431,66.27454,24.32301,16.92477,16.56864,48.64602,0,0,0,0,0,0
Kensington-Chinatown,21196,2302.137,1945.052,1995.66,130.4043,209.0931,264.2008,1208.747,1351.811,825.6275,376.1661,247.9942,179.2791,125.3887,179.9173,127.3825,0,0,0,25.07774,14.58789,28.30723
Kingsway South,10327,332.7284,306.3544,116.2002,110.9095,296.472,174.3004,181.4882,247.06,203.3504,161.3228,128.4712,38.73342,40.33071,39.5296,29.05006,0,0,0,0,0,0
Runnymede-Bloor West Village,10792,320.8152,429.9066,315.0482,254.765,289.7196,157.5241,207.5863,252.3364,277.9837,188.7149,186.9159,64.86286,18.87148,18.69159,27.79837,0,0,0,0,0,0
Forest Hill South,12450,161.7434,222.9746,200.8032,195.7947,165.1664,297.1888,357.5381,289.0412,265.0602,68.10249,123.8748,40.16064,17.02562,33.03328,48.19277,0,0,0,0,0,0
Henry Farm,22545,370.981,391.2587,372.5882,77.28772,104.9718,93.14704,113.3553,186.0865,146.3739,46.37263,28.62868,26.61344,25.76257,62.02882,26.61344,0,0,0,15.45754,23.85724,13.30672
Annex,34680,811.145,899.0685,792.9642,102.5239,85.4852,106.6897,521.6657,624.9263,585.3518,147.755,114.9629,126.8743,138.7088,120.8584,95.15571,3.015409,2.947766,0,6.030818,2.947766,0
Caledonia-Fairbank,10729,561.21,696.6673,466.0266,104.6324,84.7298,74.56426,85.60829,84.7298,93.20533,85.60829,141.2163,74.56426,9.512033,18.82885,18.64107,0,0,0,38.04813,0,18.64107
Humber Heights-Westmount,12325,314.5991,315.4051,186.6126,127.5402,157.7025,186.6126,246.5777,190.9031,73.02232,42.51339,33.20053,16.22718,25.50804,41.50066,8.11359,0,0,0,25.50804,58.10093,0
Roncesvalles,16073,639.0787,746.5027,746.5937,151.8603,94.09698,93.32421,474.5634,595.9476,423.0697,158.1878,150.5552,149.3187,31.63756,62.73132,24.88646,0,0,0,12.65502,18.8194,6.221614
University,8433,1700.722,1649.013,1019.803,134.5895,180.5489,83.00723,893.1849,1107.366,711.4906,281.4144,156.4757,154.1563,244.7082,96.29273,59.29088,12.23541,12.03659,0,0,12.03659,0
Hillcrest Village,18349,408.3916,413.9758,256.1447,139.8601,149.0313,136.2472,234.965,198.7084,98.09799,100.6993,93.83452,76.29844,44.75525,33.11806,43.59911,5.594406,5.519678,0,5.594406,5.519678,0
Mount Dennis,14703,619.5615,632.7808,482.8947,111.3818,158.1952,163.232,146.1887,96.29273,149.6293,69.61365,110.0488,129.2253,6.961364,34.39026,20.404,20.88409,20.63416,6.801333,27.84546,27.51221,6.801333
Dorset Park,27051,761.306,617.3071,476.877,310.5825,224.4753,262.4672,249.9811,213.2515,262.4672,140.1409,142.1677,88.72131,56.81388,29.93004,18.4836,7.575184,7.48251,0,26.51314,29.93004,25.87705
