Neighbourhood,F2020_Population_Projection,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020
Downsview-Roding-CFB,38981,1137.06,1141.529,915.8308,290.2564,423.1754,392.4989,229.0097,305.6267,225.751,189.0661,161.956,141.0944,37.28064,36.57071,59.00311,7.988709,7.836581,5.130705,26.62903,31.34632,25.65352
Lambton Baby Point,8433,300.2642,310.1515,367.6035,192.1691,119.289,130.4399,120.1057,178.9336,154.1563,12.01057,47.71561,11.85818,24.02114,11.9289,23.71635,0,0,0,0,35.78671,0
Bay Street Corridor,32790,2562.042,2855.956,1573.651,140.6611,169.3129,76.24276,569.3426,642.111,692.2842,425.3324,376.9607,250.0762,177.5009,236.3991,131.1375,13.3963,12.77833,3.04971,20.09444,19.16749,15.24855
Black Creek,23206,916.1443,952.0084,1210.894,236.7071,334.7244,349.0477,131.504,165.1887,112.04,135.8874,213.0064,107.7308,35.06773,39.12363,68.94769,0,0,12.92769,65.75198,26.08242,77.56615
Willowdale East,57856,363.2599,309.9704,238.5232,74.46828,118.6744,126.1753,138.0388,157.6421,131.3606,121.6921,77.93542,67.40874,25.42819,49.59527,29.3833,0,0,1.728429,3.632599,3.542519,5.185287
Willowdale West,19571,501.8888,561.8273,424.0969,59.36319,126.0173,219.7128,188.8829,105.0144,117.5208,161.8996,120.7666,127.74,32.37992,42.00578,45.98641,0,0,0,0,5.250722,5.109601
Rouge,50790,394.8807,375.3694,295.3337,121.5018,175.7048,124.0402,164.0274,117.8021,74.81788,68.851,75.87254,78.75566,32.40047,25.95639,17.72002,0,0,1.968892,6.075088,9.983228,9.844458
Mount Olive-Silverstone-Jamestown,35772,736.5163,789.8313,567.483,223.5341,246.2915,237.616,77.3772,99.08278,47.5232,177.681,167.0253,78.27351,8.597466,25.47843,22.36386,8.597466,8.492809,5.590965,42.98733,33.97124,44.72772
Cabbagetown-South St.James Town,12655,889.6078,1118.926,1106.282,129.3975,175.8312,102.7262,331.5811,887.1483,561.0431,274.9697,135.8696,126.4322,40.43672,31.96931,23.70605,0,0,7.902015,24.26203,0,7.902015
Mount Pleasant East,17972,221.1637,320.009,228.1326,73.72122,95.44128,105.72,204.1511,280.7096,205.8758,45.36691,72.9845,89.02737,51.03777,16.84258,22.25684,0,0,0,0,5.614192,0
Mount Pleasant West,36333,390.4969,412.4184,418.3524,50.67517,34.3682,66.05565,268.2803,340.818,434.8664,74.52231,68.7364,49.54174,23.84714,20.04811,27.52319,5.961785,5.728033,5.504638,2.980892,2.864017,0
Blake-Jones,8287,762.5139,803.4084,675.7572,110.6875,85.20998,84.46965,332.0625,219.1114,337.8786,172.1805,109.5557,48.26837,12.29861,48.69142,60.33546,0,0,0,24.59722,24.34571,24.13419
Rexdale-Kipling,11095,719.1625,561.34,432.6273,527.9927,461.7474,405.5881,163.8598,126.7542,162.2352,200.2731,208.239,117.1699,27.30997,27.16161,9.013069,18.20665,18.10774,0,27.30997,45.26935,9.013069
East End-Danforth,23112,818.8015,817.9512,636.0332,141.6305,83.10734,112.4957,349.6504,271.1924,268.2589,141.6305,118.0999,116.8224,35.40763,39.36663,21.63378,0,0,0,8.851908,8.748141,8.653513
New Toronto,12539,860.938,897.5499,693.8352,98.39291,185.9788,159.5023,172.1876,202.1509,326.9798,163.9882,137.4626,87.7263,8.199409,8.086036,39.87559,0,0,0,8.199409,16.17207,31.90047
Palmerston-Little Italy,14992,563.9736,599.0845,340.1814,156.2818,87.50673,106.7236,312.5637,343.2956,320.1707,135.8973,94.23802,40.02134,67.94863,87.50673,26.6809,0,0,6.670224,6.794863,0,0
Parkwoods-Donalda,38257,383.1935,422.0193,392.0851,53.97091,82.28049,115.0116,213.1851,180.4863,125.4672,62.06655,95.55154,23.52511,18.88982,13.27105,5.227801,2.698545,2.65421,2.613901,8.095636,2.65421,15.6834
Pelmo Park-Humberlea,12278,643.1144,676.8614,447.9557,574.5155,601.6545,464.245,205.7966,192.1952,162.893,162.9223,75.20682,57.01254,34.29943,58.49419,81.44649,8.574859,8.356313,0,25.72458,25.06894,48.86789
Playter Estates-Danforth,8257,698.872,1010.962,932.5421,110.3482,133.9829,84.77655,294.2619,426.3094,605.5468,85.82639,133.9829,96.88749,24.52182,73.0816,84.77655,0,0,0,0,12.18027,12.11094
Willowridge-Martingrove-Richview,24158,328.0784,399.1093,397.3839,217.2987,180.6495,285.6197,281.2101,176.4483,78.6489,72.43289,163.8449,53.8124,17.04303,12.60345,16.55766,4.260758,4.201151,0,25.56455,21.00576,28.97591
Woburn,58109,690.1055,754.3291,598.8745,104.1336,106.2681,165.2068,174.7326,174.21,111.8587,134.1382,116.7207,94.64971,24.70966,13.9368,24.09265,0,0,3.441808,21.17971,26.13149,25.81356
Woodbine-Lumsden,8309,486.9734,399.0809,373.0894,24.34867,96.74689,48.14057,170.4407,120.9336,144.4217,73.04602,36.28008,72.21085,36.52301,60.4668,12.03514,12.17434,12.09336,0,12.17434,0,0
Bayview Village,24799,251.4705,277.7548,278.237,38.3599,157.5325,112.9078,213.1106,153.3869,120.9726,21.31106,62.1839,72.58357,29.83548,49.74712,48.38905,0,0,4.032421,4.262211,4.145593,4.032421
Bedford Park-Nortown,26015,164.4077,223.6785,196.0407,200.4972,247.2236,303.671,405.0044,353.1766,246.0119,52.12928,54.93859,65.34692,28.06961,70.63532,34.59542,0,0,0,0,11.77255,0
Rockcliffe-Smythe,23751,565.4316,628.637,538.9247,214.1786,161.4068,256.8313,102.8057,182.6445,151.5726,81.38788,38.22792,54.73454,64.25359,38.22792,16.8414,4.283573,4.247547,8.420698,21.41786,25.48528,21.05174
Bridle Path-Sunnybrook-York Mills,10942,313.1728,406.5041,411.2594,88.07986,103.9894,146.2256,518.6925,501.0399,274.1729,0,122.8966,73.11278,39.1466,28.36075,54.83458,0,0,0,19.5733,28.36075,27.41729
